	Control1	Control2	Control3	Control4	Control5	Case1	Case2	Case3	Case4	Case5	Outgroup1	Outgroup2	Outgroup3	Outgroup4	Outgroup5
Lipid;Monoacylglycerol;1-linoleoylglycerol (18:2)	0.3422	1.1926	0.7019	0.1278	0.7012	0.8821	0.9538	0.2605	0.576	0.4427	4.8312	2.9998	1.7232	0.9838	1.9351
Lipid;Lysolipid;1-linoleoyl-GPA (18:2)*	0.6807	1.6354	0.5005	0.2685	1.0668	2.69E-01	0.6165	0.2685	1	2.3335	1.4927	0.2685	0.2685	1.8251	0.8933
Lipid;Lysolipid;1-linoleoyl-GPC (18:2)	1.1857	2.1055	2.3633	1.2094	1.9678	0.6744	0.6353	0.3652	0.9588	0.7434	1.0527	0.8913	0.9985	0.6925	0.6915
Lipid;Lysolipid;1-linoleoyl-GPE (18:2)*	0.7686	2.6986	2.88E+00	1.1728	2.1595	0.3724	0.2878	0.1249	0.4285	0.4257	1.2016	1.4727	0.9235	0.741	0.5088
Lipid;Lysolipid;1-linoleoyl-GPI (18:2)*	0.4201	3.6347	2.8838	0.3314	1.8663	0.6195	0.3314	0.3314	0.3314	0.3559	1.0247	0.7635	0.9753	0.4749	0.3314
Amino Acid;Histidine Metabolism;1-methylhistidine	0.997	0.7847	0.9064	0.5271	0.8029	0.9464	1.1805	0.6918	1.0195	1.003	1.2637	1.2116	1.4025	1.3607	0.9403
Amino Acid;Histidine Metabolism;1-methylimidazoleacetate	0.8364	0.2918	0.2674	0.3723	0.4406	0.2902	0.3593	0.4988	0.3507	0.3927	1.6066	1.342	1.2921	1.5005	1.1636
Cofactors and Vitamins;Nicotinate and Nicotinamide Metabolism;1-methylnicotinamide	0.4617	0.7267	0.2337	0.9927	0.9096	1.1226	0.9595	1.9445	0.8953	0.4827	2.3622	1.2999	1.679	1.1551	1.1504
Lipid;Monoacylglycerol;1-myristoylglycerol (14:0)	0.7554	1.1596	1.7109	0.2911	1.3855	0.2812	0.2812	0.2812	0.2812	0.2812	1.8496	1	0.7405	0.4623	0.4305
Lipid;Phospholipid Metabolism;1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*	1.3355	1.6412	1.8439	0.982	1.3972	0.6165	0.7375	0.4535	0.8261	0.6868	1.018	1.1707	1.198	0.7451	0.6269
Lipid;Phospholipid Metabolism;1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*	0.9899	1.4657	2.3155	1.507	1	0.428	0.392	0.392	0.392	3.92E-01	1.3985	1.3194	0.7578	0.7495	0.4249
Lipid;Phospholipid Metabolism;1-oleoyl-2-linoleoyl-GPI (18:1/18:2)*	1.4152	1.6685	1.3869	1.0907	1.7528	0.6589	0.8582	0.6313	0.9975	0.8834	1.0025	0.9302	1.0402	0.8926	0.6825
Lipid;Diacylglycerol;1-oleoyl-3-linoleoyl-glycerol (18:1/18:2)	0.1115	0.3044	0.353	0.2849	0.1115	0.1115	0.1115	0.1115	0.1115	0.1115	1.3416	1.1892	0.692	1.263	1.0757
Lipid;Monoacylglycerol;1-oleoylglycerol (18:1)	0.3987	1.0158	0.9719	0.2628	0.7657	1.0004	0.8433	0.8218	0.7079	0.4935	3.4687	2.5148	1.429	0.7304	1.7167
Lipid;Lysolipid;1-oleoyl-GPC (18:1)	1.149	1.4719	1.432	0.841	1.4898	0.9445	1.2123	0.6365	1.1664	1.0939	0.934	1.0826	0.9316	0.8334	0.7139
Lipid;Lysolipid;1-oleoyl-GPE (18:1)	1.0778	1.2547	1.4152	1.0095	1.2915	0.7954	0.962	0.4704	1.0448	0.8644	1.13E+00	1.0343	1.0833	0.87	0.7268
Lipid;Phospholipid Metabolism;1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*	1.1263	0.7989	1.1076	0.8864	0.8917	1.054	1.4648	0.6485	1.3104	0.9902	0.9705	1.3705	1.0492	1.2197	0.8986
Lipid;Monoacylglycerol;1-palmitoleoylglycerol (16:1)*	0.8247	1.5357	0.7374	0.3382	0.7303	0.3382	0.3382	0.3382	0.3382	0.3382	1.6427	1.435	0.3382	0.3382	0.3382
Lipid;Lysolipid;1-palmitoleoyl-GPC (16:1)*	1.6717	1.1537	1.3374	0.986	1.3384	0.9208	1.4071	0.5881	1.245	1.1953	0.8264	0.8481	0.8739	0.7342	0.7807
Lipid;Phospholipid Metabolism;1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4)	1.176	1.0943	1.0329	0.979	1.1618	0.77	1.1076	0.4274	1.1092	0.9691	1.0515	0.9571	0.9397	0.8705	0.7961
Lipid;Phospholipid Metabolism;1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	1.4373	0.9593	1.1287	1.0843	1.0018	0.6723	0.7496	0.5474	0.6335	0.5512	1.4743	1.1032	0.8372	0.9498	0.9982
Lipid;Phospholipid Metabolism;1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	1.50E+00	1.4229	1.1845	1.1154	1.4292	0.8165	9.96E-01	7.66E-01	1.0629	0.8686	0.9772	0.9069	0.9358	0.9008	0.7715
Lipid;Phospholipid Metabolism;1-palmitoyl-2-linolenoyl-GPC (16:0/18:3)*	0.8104	1.0954	1.2034	0.8563	0.9361	0.4196	0.5177	0.2755	0.5901	0.5415	1.2059	1.2724	1.437	1.1073	0.7838
Lipid;Phospholipid Metabolism;1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	0.8453	1.1251	1.1079	0.7117	1.0614	0.5341	0.611	0.31	0.6608	0.5275	1.1189	1.058	1.1183	0.8895	0.8084
Lipid;Phospholipid Metabolism;1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	0.9962	0.9432	1.3075	1.0038	1.124	0.3481	0.4015	0.2351	0.281	0.2316	1.1318	1.2408	0.8785	0.8793	0.7857
Lipid;Phospholipid Metabolism;1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	0.9641	1.7781	1.4799	0.9224	1.2946	0.6415	5.37E-01	0.4353	0.7188	0.5121	1.1109	0.9594	1.2295	0.8224	0.7191
Lipid;Phospholipid Metabolism;1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	0.925	0.8983	0.8619	0.6238	0.9495	0.8094	1.0779	0.6534	1.0005	0.8996	1.1181	1.2039	1.4377	1.2091	0.9438
Lipid;Phospholipid Metabolism;1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	0.6485	0.6485	1.00E+00	0.6485	0.6485	0.6485	0.6485	0.6485	0.6485	0.6485	0.6485	0.6485	0.6485	0.6485	0.6485
Lipid;Phospholipid Metabolism;1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	0.6858	1.7476	1.2352	0.724	1	0.4798	0.4798	0.4798	0.5627	0.4798	0.9049	0.8105	1.1219	0.4798	0.4798
Lipid;Phospholipid Metabolism;1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	1.6427	0.9997	1.0817	0.9875	1.0524	0.592	0.9743	0.444	0.8171	0.9283	1.0003	1.1507	1.3869	1.0004	0.8829
Lipid;Phospholipid Metabolism;1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	0.8021	1.4155	1.2865	0.9754	1.1171	0.5383	0.642	0.3094	0.7769	0.6902	0.8386	1.4048	1.8386	1.0127	0.8399
Lipid;Phospholipid Metabolism;1-palmitoyl-3-linoleoyl-glycerol (16:0/18:2)*	0.2251	0.4697	0.6317	0.7056	0.213	0.213	0.213	0.213	0.213	0.213	1.6232	1.2655	1.0187	1.1542	0.5369
Lipid;Monoacylglycerol;1-palmitoylglycerol (16:0)	0.9433	1.3019	1.0851	0.6118	1.0766	0.5902	0.2853	0.5603	0.2873	0.6905	1.7649	1.1271	1.1063	0.664	0.7651
Lipid;Lysolipid;1-palmitoyl-GPC (16:0)	0.8271	1.0032	0.9143	0.5797	1.0304	0.8586	1.0348	0.4898	0.9737	0.8926	1.1082	1.0674	1.0609	0.93	0.8804
Lipid;Lysolipid;1-palmitoyl-GPE (16:0)	0.7755	0.9071	0.9018	0.8243	0.9832	0.7712	0.8766	0.4295	0.8779	0.8115	1.3899	1.5564	1.4847	1.3051	1.0168
Lipid;Lysolipid;1-palmitoyl-GPI (16:0)*	0.5668	0.9314	0.7408	0.2317	1.516	0.2317	1.015	0.2317	0.2317	0.8878	1.275	0.3982	0.2317	0.2317	0.7978
Lipid;Phospholipid Metabolism;1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	0.9814	1.048	1.0282	0.9181	1.1745	0.726	0.9538	0.3958	1.0103	0.8803	1.1161	1.11	0.9897	0.9348	0.865
Lipid;Phospholipid Metabolism;1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	0.942	0.9917	1.0083	0.9365	0.8363	0.6329	0.5985	0.4471	0.5768	0.5596	1.52	1.5361	0.9517	1.0881	1.0637
Lipid;Phospholipid Metabolism;1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	0.8442	1.1221	0.9164	0.9535	1.143	1.0562	1.3505	1.0674	1.2056	1.2226	1.1229	0.9422	1.1147	1.1686	0.8893
Lipid;Phospholipid Metabolism;1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	0.7381	1.3163	1.2033	0.7936	1.2147	0.4936	0.5062	0.2997	0.6256	0.5453	1.1104	1.0681	1.1528	0.8436	0.7202
Lipid;Phospholipid Metabolism;1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	0.4273	1.4472	1.4059	0.7782	1.0131	0.3128	0.3163	0.1958	0.2993	0.2276	1.6677	1.4752	0.9869	0.8198	0.6405
Lipid;Phospholipid Metabolism;1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	0.6582	2.0568	1.5189	0.922	1.3741	0.676	0.5428	0.4585	0.8587	0.6353	1.0658	1.0533	1.0945	0.9244	0.7228
Lipid;Phospholipid Metabolism;1-stearoyl-2-oleoyl-GPC (18:0/18:1)	0.9153	1.1724	1.0726	0.7303	1.1483	0.659	0.7459	0.527	0.8685	0.8397	1.0318	1.2358	1.5268	1.0584	0.8248
Lipid;Lysolipid;1-stearoyl-GPC (18:0)	0.6916	1.0017	0.9404	0.5318	1.05	0.8458	0.9575	0.4437	0.929	0.7969	1.143	1.1397	1.1163	1.0832	0.8242
Lipid;Lysolipid;1-stearoyl-GPE (18:0)	0.7062	0.9261	0.9668	0.7344	1.0028	0.6918	0.8073	0.3834	0.8458	0.7167	1.4682	1.4081	1.8102	1.2993	0.9972
Lipid;Lysolipid;1-stearoyl-GPI (18:0)	0.6093	0.8795	0.9566	0.3492	1.2384	0.85	1.7801	0.4261	0.6212	1.572	1.7367	1.017	1.2207	0.983	0.9323
Xenobiotics;Food Component/Plant;2,3-dihydroxyisovalerate	2.4939	1.4424	0.9986	0.9716	0.951	1.1853	1.0014	1.4836	0.5854	0.8216	0.5854	0.5854	0.5854	0.8862	0.5854
Carbohydrate;Glycolysis, Gluconeogenesis, and Pyruvate Metabolism;2,3-diphosphoglycerate	0.2317	1.9532	1.6994	1.6944	1.8503	0.6931	1.7695	2.6282	1.0792	0.9371	0.9155	0.4688	0.7037	0.3336	0.8451
Amino Acid;Lysine Metabolism;2-aminoadipate	0.8975	1.2756	0.9561	0.5124	0.8816	0.872	0.989	0.5704	1.0579	0.605	0.8773	1.1963	1.1736	1.1663	1.1384
Amino Acid;Methionine, Cysteine, SAM and Taurine Metabolism;2-aminobutyrate	1.047	0.816	0.8128	0.9434	0.9654	0.725	0.85	0.9518	0.8317	0.9892	1.3053	1.4954	0.8907	1.0203	1.1845
Lipid;Fatty Acid, Amino;2-aminoheptanoate	0.7334	0.809	0.6539	0.6788	0.7303	0.6676	0.7532	0.4973	0.7296	0.9862	3.3234	5.462	2.8849	1.2509	2.616
Lipid;Fatty Acid, Amino;2-aminooctanoate	0.3811	1.1975	0.9701	0.4603	0.8654	1.1149	0.9859	0.3811	1.2201	1.577	1.2892	1.494	1.2715	1	1.2037
Xenobiotics;Chemical;2-aminophenol sulfate	4.994	18.8742	2.3571	0.7299	6.28E-01	0.4709	3.3742	0.4709	0.4709	0.4814	0.4709	0.4709	0.4709	0.4709	0.4709
Nucleotide;Pyrimidine Metabolism, Cytidine containing;2-deoxycytidine	0.7057	0.5262	0.6252	0.6649	0.844	0.6631	0.863	0.788	0.7295	0.952	1.2909	1.0846	1.4959	1.052	1.1301
Nucleotide;Pyrimidine Metabolism, Uracil containing;2-deoxyuridine	0.7652	0.7688	0.9281	0.6407	0.9966	0.996	1.212	0.5701	1.065	1.1722	1.0359	0.9228	0.8721	0.9142	1.1538
Amino Acid;Leucine, Isoleucine and Valine Metabolism;2-hydroxy-3-methylvalerate	1.2112	0.6982	0.6228	0.8646	0.7868	0.7752	0.7958	8.95E-01	0.8158	0.775	1.1618	1.1026	1.9283	1.4259	0.96
Lipid;Fatty Acid, Dicarboxylate;2-hydroxyadipate	0.8614	0.689	0.4052	0.5768	0.6815	9.02E-01	0.5857	0.679	1.2084	0.6981	1.0953	1.6677	1.6528	2.077	1.7415
Amino Acid;Methionine, Cysteine, SAM and Taurine Metabolism;2-hydroxybutyrate/2-hydroxyisobutyrate	1.5404	1.1534	0.8391	0.8505	1.0366	0.8137	0.8643	1.4598	1.0384	1.0306	0.9848	0.8602	1.0152	1.0824	0.8606
Lipid;Fatty Acid, Monohydroxy;2-hydroxydecanoate	0.6701	1.479	1.4858	0.628	1.2506	0.6607	1.2664	5.83E-01	1.3627	1.6293	0.998	1.0896	1.0548	0.8135	0.725
Lipid;Fatty Acid, Dicarboxylate;2-hydroxyglutarate	0.4385	1.1372	0.5081	0.5586	0.9777	0.6952	0.8149	0.4521	1.0223	1.3969	0.9538	2.5232	2.2403	1.7295	2.8714
Lipid;Fatty Acid, Monohydroxy;2-hydroxyoctanoate	1.0024	1.7354	1.407	0.9699	1.9414	0.8145	1.4128	0.9295	1.4234	1.6568	1.3106	1.0903	0.7771	0.8649	0.6453
Lipid;Fatty Acid, Monohydroxy;2-hydroxypalmitate	0.7947	1.0869	0.8606	0.9486	1.0351	0.987	1.5488	0.7859	1.4371	1.5117	0.7857	1.0944	2.7525	0.8517	1.0675
Amino Acid;Phenylalanine and Tyrosine Metabolism;2-hydroxyphenylacetate	2.4367	1.7679	1.2361	0.9403	1.9083	1.6881	1.4629	3.5339	1.6991	1.2133	0.7386	0.5143	0.5942	0.6848	0.4205
Lipid;Fatty Acid, Monohydroxy;2-hydroxystearate	0.7199	1.0964	0.8657	0.6731	0.891	1.2969	2.2277	1.0702	1.5002	1.5676	0.7903	1.4047	1.8681	0.8681	0.8793
Lipid;Monoacylglycerol;2-linoleoylglycerol (18:2)	0.3135	1.2423	0.5243	0.1467	0.7339	0.5275	0.6664	0.3435	0.3932	0.1467	3.2324	1.7703	1.7561	0.7577	1.2487
Amino Acid;Leucine, Isoleucine and Valine Metabolism;2-methylbutyrylcarnitine (C5)	1.0497	0.9891	0.4665	0.4129	0.8858	0.5174	0.2284	1.0109	0.7625	0.7165	1.458	1.2915	1.5799	1.5622	1.7159
Amino Acid;Leucine, Isoleucine and Valine Metabolism;2-methylbutyrylglycine	0.9341	0.7855	0.3457	0.2942	0.5392	0.8471	0.5998	1.9745	1.1229	0.6196	1.2035	1.1181	1.1304	1.7839	1.6155
Lipid;Monoacylglycerol;2-oleoylglycerol (18:1)	0.2948	0.897	0.7977	0.2948	0.7273	0.6464	0.2948	0.2948	0.2948	0.2948	2.2202	1.3835	1.103	0.5458	0.7921
Xenobiotics;Food Component/Plant;2-oxindole-3-acetate	1.4874	1.9827	1	0.5496	0.5496	0.5496	0.5496	0.5496	0.5496	0.5496	0.5496	0.5496	0.5496	0.5496	0.5496
Amino Acid;Lysine Metabolism;2-oxoadipate	0.5993	2.0177	1.5425	0.6346	1.0196	1.0511	1.1375	0.7076	0.9804	1.3816	0.6066	0.9644	1.6005	1.5611	0.7574
Lipid;Lysolipid;2-palmitoyl-GPC (16:0)*	0.9151	1.1772	1.1346	0.421	1.0092	0.8739	1.4683	0.525	0.834	0.9908	1.2068	0.9331	1.1473	0.9158	0.9605
Xenobiotics;Chemical;2-pyrrolidinone	1.1236	1.2985	1.3186	1.0252	1.4689	1.2049	1.5684	0.5794	1.7078	1.5015	0.9748	1.1347	0.7842	0.9215	0.9502
Lipid;Lysolipid;2-stearoyl-GPE (18:0)*	0.7713	0.7894	0.9522	0.3811	0.9059	0.788	1.1792	0.2468	0.5981	1.0271	1.6435	1.2979	1.7864	1.1029	0.9729
Amino Acid;Phenylalanine and Tyrosine Metabolism;3-(3-hydroxyphenyl)propionate sulfate	10.3525	4.0951	4.0752	4.3368	0.2497	2.2745	3.5558	2.0424	0.1578	1.0647	0.1089	0.599	0.1089	0.1089	0.7203
Amino Acid;Phenylalanine and Tyrosine Metabolism;3-(4-hydroxyphenyl)lactate	0.8951	0.981	0.7001	0.9282	0.9258	0.6806	0.6501	0.4553	0.8297	1.1469	1.0923	1.0267	1.8727	1.2188	0.986
Amino Acid;Phenylalanine and Tyrosine Metabolism;3-(4-hydroxyphenyl)propionate	1.4733	0.4575	0.4575	0.9271	0.4575	0.4575	1.3641	1.0882	0.4575	0.9447	1.0226	1.3755	0.6272	0.4575	1.2244
Nucleotide;Pyrimidine Metabolism, Thymine containing;3-aminoisobutyrate	0.9903	0.3977	0.3045	1.1201	0.5562	0.2609	0.4952	0.8956	1.0518	0.7268	0.728	1.3371	1.1535	1.0097	1.5722
Amino Acid;Leucine, Isoleucine and Valine Metabolism;3-hydroxy-2-ethylpropionate	1.9691	1.4552	0.9071	0.589	1.3427	1.233	1.3748	1.7389	1.266	1.3429	0.71	0.4284	0.8273	0.7478	0.903
Lipid;Mevalonate Metabolism;3-hydroxy-3-methylglutarate	0.9906	0.9023	0.5603	0.6019	0.8753	0.6621	0.911	0.6036	1.0109	0.9464	1.3014	1.4997	1.477	1.8757	1.5927
Lipid;Ketone Bodies;3-hydroxybutyrate (BHBA)	1.4829	0.9387	1.0643	1.0893	0.875	0.9813	1.6281	1.0812	1.6628	1.2658	1.4676	0.8964	0.8492	0.7403	0.9026
Lipid;Fatty Acid Metabolism(Acyl Carnitine);3-hydroxybutyrylcarnitine (1)	0.895	0.692	0.6327	0.9055	0.6112	0.739	0.9802	0.4568	0.8601	0.8331	1.2718	1.0756	1.2275	1.3261	1.2339
Lipid;Fatty Acid, Monohydroxy;3-hydroxydecanoate	1.5684	1.0974	1.6987	0.9225	0.875	0.4645	1.577	0.5658	1.2925	1.6144	0.7897	0.7323	1.6884	0.9778	0.7088
Amino Acid;Leucine, Isoleucine and Valine Metabolism;3-hydroxyisobutyrate	0.7271	0.6802	1.1217	0.763	0.5658	0.9974	1.2039	0.6313	0.8832	1.4414	0.9492	1.4258	1.8432	1.1868	0.8486
Lipid;Fatty Acid, Monohydroxy;3-hydroxylaurate	1.2237	0.917	1.0047	1.2066	0.8369	0.2857	1.3092	0.4768	1.2799	1.6885	0.6312	0.6815	2.1926	0.9212	0.7532
Lipid;Fatty Acid, Monohydroxy;3-hydroxymyristate	0.7852	1.1525	0.7638	1.194	1.0042	0.3426	1.0357	0.6581	1.6353	1.2712	0.5051	0.7813	2.5431	0.7183	0.922
Lipid;Fatty Acid, Monohydroxy;3-hydroxyoctanoate	1.5105	1.0789	1.4039	0.7565	0.9563	0.3796	1.4776	0.747	1.4387	1.7768	0.9307	0.7213	1.8408	0.9312	0.7356
Xenobiotics;Chemical;3-hydroxypyridine sulfate	1.753	4.0332	1.9428	0.5216	1.09	0.5216	0.5216	0.5216	0.5216	0.5216	0.5216	0.5216	0.5216	0.5216	0.5216
